C,Lambda
0.02015188958948119,4132457.32
0.020978479080193835,3672255.81
0.02182297434095398,3263915.79
0.022687388150295855,2901518.54
0.023570259432951095,2579836.31
0.024473422324619964,2294247.48
0.025394537466816226,2040663.65
0.02633724027325091,1815465.48
0.02729707538013916,1615447.85
0.028279986994475946,1437770.82
0.02927962041197494,1279917.58
0.030301118790921504,1139656.85
0.03134235040707022,1015010.26
0.032404519768694566,904223.16
0.033488006303068675,805739.37
0.03458894227520997,718178.35
0.03571406406709045,640315.42
0.03685760755607549,571064.0
0.03802195183115445,509459.97
0.039207930211969916,454647.91
0.04041040892782925,405868.68
0.041637008710988,362448.66
0.04288597388418691,323790.01
0.044153173312214154,289362.18
0.045438749588851406,258694.26
0.04674905619393561,231368.28
0.048078676388011374,207013.21
0.0494268041391001,185299.69
0.05079495777854853,165935.32
0.05218708417790596,148660.46
0.05359365237508525,133244.58
0.05502426109348818,119482.94
0.05647413964276297,107193.7
0.0579391952978415,96215.33
0.05942680857573855,86404.32
0.0609329709126162,77633.15
0.06245966518748359,69788.5
0.0640025970027738,62769.64
0.06556635458433452,56487.0
0.06714516636091045,50860.95
0.06874265574515966,45820.66
0.0703584574274936,41303.12
0.07199219666846211,37252.25
0.07364229364866974,33618.15
0.07530955138981382,30356.39
0.07698494124027101,27427.39
0.07868795740143031,24795.91
0.08039828138584196,22430.54
0.08212837583098802,20303.29
0.08387144157356098,18389.2
0.08562465627664018,16666.0
0.0873970426783801,15113.82
0.08917778834146334,13714.95
0.09097499749461098,12453.56
0.09278745714576263,11315.5
0.09460750809078639,10288.14
0.09644129062380001,9360.2
0.09828085573114355,8521.58
0.10013951415113997,7763.24
0.1020036249993204,7077.11
0.10387752683911895,6455.94
0.10575387899280589,5893.26
0.10764835286642627,5383.25
0.1095501918605494,4920.72
0.11145280095968882,4500.98
0.11337155425440494,4119.86
0.1152860097117571,3773.58
0.11721688313356993,3458.78
0.11914314109512483,3172.42
0.1210825433748384,2911.76
0.12302686525986556,2674.36
0.12497255373245382,2458.0
0.12692078741960588,2260.71
0.12887038178772042,2080.68
0.13083060635123026,1916.3
0.13278070786899468,1766.13
0.13473938316075257,1628.85
0.13669736143168076,1503.27
0.1386534663379741,1388.32
0.14061773017165943,1283.04
0.14256671820409386,1186.56
0.14452300002129387,1098.08
0.1464858586345872,1016.89
0.14843095512584065,942.34
0.15038294258325133,873.85
0.15232664269259505,810.89
0.15427667574361512,752.97
0.15621873663816196,699.65
0.1581516576631896,650.55
0.16007544535391877,605.29
0.162002973830591,563.56
0.16393235489939798,525.05
0.1658388761761822,489.5
0.16774755921417675,456.65
0.16964421431268573,426.29
0.17154246422264538,398.2
0.1734278168200605,372.2
0.1753002721049311,348.13
0.1771738981968536,325.82
0.17903257717928095,305.13
0.18089301786623105,285.94
0.18273762714687514,268.12
0.184567570702283,251.57
0.18639765381372142,236.19
0.18821100296196125,221.89
0.19000878024008594,208.58
0.19180622869580227,196.18
0.1935860241625424,184.64
0.19535050015919952,173.88
0.1971118077265302,163.85
0.19885687629107046,154.48
0.20059931726568583,145.74
0.20232576649478481,137.57
0.20403266757711022,129.94
0.20573876757209003,122.8
0.20741016733358963,116.11
0.20909534365505086,109.86
0.21074575748907887,104.0
0.21239374827360288,98.51
0.21404088918101694,93.36
0.21565183720148734,88.52
0.21725977754230402,83.99
0.21884990275955796,79.73
0.22043749935804646,75.72
0.22200629147518516,71.96
0.22355623374796024,68.42
0.22510420791323,65.09
0.22661525986687742,61.95
0.2281245211557122,58.99
0.2296335439861827,56.2
0.2311041624247531,53.58
0.23257351719037359,51.1
0.23404315642341736,48.76
0.23547408365607003,46.55
0.23690425575996135,44.46
0.23831586900428553,42.48
0.2397088645677892,40.62
0.24108198209089435,38.85
0.24245490393049932,37.18
0.24381049174817349,35.6
0.24514506988840154,34.1
0.24646218659772554,32.67
0.2477808470485043,31.33
0.24907976319781613,30.05
0.2503612846484166,28.83
0.2516241343789669,27.68
0.25286824329750074,26.58
0.2541144636292024,25.54
0.2553432755013563,24.55
0.256554609929726,23.61
0.2577471769111962,22.72
0.2589221241498421,21.87
0.26010216384347284,21.05
0.2612417857614725,20.28
0.26238661001535185,19.54
0.26351377968026524,18.84
0.26462445053401906,18.17
0.26571731976444724,17.53
0.26681708366024265,16.92
0.26787795384708907,16.34
0.26894335008021014,15.78
0.2699946079943343,15.25
0.27102917978271795,14.74
0.2720469895546184,14.26
0.27305045210142065,13.79
0.2740382545059552,13.35
0.27501032521837165,12.92
0.2759912306287754,12.51
0.2769329923041468,12.12
0.27788368458131757,11.75
0.2787961107388074,11.39
0.2797175620006157,11.05
0.28062560708603407,10.72
0.2815189172474208,10.4
0.28239868593406126,10.1
0.28326484689152964,9.81
0.28411606387264676,9.53
0.2849560784330867,9.26
0.2858056676261148,9.0
0.2866193888122923,8.75
0.2874191719813439,8.51
0.2882312159195136,8.28
0.2890055910338104,8.06
0.28976839668917864,7.85
0.2905436041232749,7.64
0.2912819136549204,7.44
0.2920340071536205,7.25
0.2927745087267501,7.07
0.2934776069219573,6.89
0.2941946328445638,6.72
0.2949024832770734,6.56
0.29557243574057396,6.4
0.29625645939655004,6.25
0.29693114281824123,6.1
0.2975700536563511,5.96
0.2982231793099279,5.82
0.29886811946733916,5.69
0.2995021982256854,5.56
0.30009988118186454,5.44
0.3007146031562932,5.32
0.30131962103839616,5.2
0.30188911083517506,5.09
0.30247579205071723,4.98
0.30305394662651675,4.88
0.3035961329697788,4.78
0.3041569952054129,4.68
0.3047105288832965,4.59
0.30522632499143504,4.49
