R [km],M [M_solar]
15.014,0.2049
14.818,0.21052
14.635,0.21629
14.464,0.22223
14.305,0.22834
14.156,0.23462
14.017,0.24106
13.887,0.24769
13.766,0.25448
13.652,0.26146
13.547,0.26862
13.448,0.27596
13.356,0.28349
13.27,0.29121
13.189,0.29911
13.115,0.30721
13.045,0.31551
12.98,0.32399
12.92,0.33268
12.864,0.34157
12.813,0.35065
12.765,0.35994
12.72,0.36943
12.679,0.37912
12.642,0.38902
12.607,0.39913
12.575,0.40944
12.546,0.41995
12.52,0.43068
12.495,0.4416
12.474,0.45274
12.454,0.46408
12.436,0.47562
12.421,0.48737
12.407,0.49932
12.395,0.51148
12.384,0.52383
12.375,0.53638
12.367,0.54913
12.361,0.56208
12.356,0.57522
12.352,0.58855
12.349,0.60207
12.347,0.61577
12.346,0.62966
12.347,0.64372
12.347,0.65796
12.349,0.67237
12.351,0.68695
12.354,0.7017
12.358,0.7166
12.362,0.73167
12.367,0.74688
12.372,0.76224
12.377,0.77774
12.383,0.79338
12.389,0.80915
12.396,0.82505
12.402,0.84106
12.409,0.8572
12.416,0.87344
12.424,0.88979
12.431,0.90624
12.438,0.92277
12.446,0.9394
12.453,0.95611
12.461,0.97288
12.468,0.98973
12.476,1.00664
12.483,1.0236
12.49,1.04062
12.497,1.05767
12.504,1.07476
12.511,1.09188
12.517,1.10902
12.524,1.12618
12.53,1.14334
12.536,1.16051
12.542,1.17768
12.547,1.19484
12.553,1.21198
12.558,1.2291
12.562,1.24619
12.567,1.26324
12.571,1.28026
12.575,1.29722
12.578,1.31414
12.581,1.331
12.584,1.34779
12.587,1.36451
12.589,1.38116
12.59,1.39772
12.592,1.4142
12.593,1.43059
12.594,1.44688
12.594,1.46307
12.594,1.47915
12.594,1.49512
12.593,1.51098
12.592,1.52671
12.59,1.54233
12.588,1.55781
12.586,1.57316
12.583,1.58838
12.58,1.60345
12.577,1.61838
12.573,1.63317
12.569,1.6478
12.565,1.66229
12.56,1.67661
12.555,1.69078
12.549,1.70478
12.543,1.71863
12.537,1.7323
12.53,1.74581
12.524,1.75915
12.516,1.77231
12.509,1.7853
12.501,1.79811
12.492,1.81075
12.484,1.82321
12.475,1.83548
12.466,1.84758
12.456,1.85949
12.446,1.87122
12.436,1.88277
12.425,1.89413
12.415,1.90531
12.404,1.9163
12.392,1.92711
12.381,1.93773
12.369,1.94816
12.356,1.95841
12.344,1.96847
12.331,1.97834
12.318,1.98803
12.305,1.99754
12.292,2.00686
12.278,2.01599
12.264,2.02495
12.25,2.03371
12.236,2.0423
12.221,2.05071
12.206,2.05893
12.191,2.06698
12.176,2.07485
12.161,2.08254
12.145,2.09005
12.129,2.09739
12.113,2.10456
12.097,2.11155
12.081,2.11837
12.064,2.12503
12.048,2.13151
12.031,2.13783
12.014,2.14398
11.997,2.14997
11.98,2.15579
11.962,2.16146
11.945,2.16697
11.927,2.17231
11.909,2.17751
11.891,2.18255
11.873,2.18743
11.855,2.19217
11.837,2.19676
11.819,2.2012
11.8,2.2055
11.782,2.20965
11.763,2.21366
11.745,2.21753
11.726,2.22126
11.707,2.22486
11.688,2.22832
11.669,2.23165
11.65,2.23485
11.631,2.23791
11.612,2.24086
11.592,2.24367
11.573,2.24637
11.554,2.24894
11.534,2.25139
11.515,2.25372
11.496,2.25594
11.476,2.25804
11.457,2.26003
11.437,2.26191
11.417,2.26368
11.398,2.26534
11.378,2.26689
11.358,2.26835
11.339,2.2697
11.319,2.27094
11.299,2.27209
11.28,2.27315
11.26,2.2741
11.24,2.27497
11.22,2.27574
11.201,2.27642
11.181,2.27701
11.161,2.27751
11.142,2.27793
11.122,2.27826
11.102,2.27851
11.083,2.27868
11.063,2.27877
11.043,2.27879
11.024,2.27872
